device,cpu_mae,cpu_mse,cpu_smape,mem_mae,mem_mse,mem_smape
62,0.29093316862191604,0.36092494523550533,0.03691635459175293,12.25900433389917,163.18750532042134,0.2593949570756689
63,0.4916076802050503,0.5822140455922518,0.06055281479524121,12.25900433389917,163.18750532042134,0.2593949570756689
64,3.870594569585876,67.13839853332367,0.27840416694440456,5.814350392460374,47.69872625849694,0.05607298968553571
65,3.7576583468647966,56.425057871911555,0.1367619064270851,6.312488417761812,53.8428201970352,0.06291770658548321
66,3.504734182827354,16.588239022178456,0.051242545160645844,0.49686914032041163,0.27784024210376207,0.004159701903247428
67,3.9277393428944456,21.474753726927435,0.05417081920220469,0.3078405482425929,0.14456620190756686,0.0025473947265597756
68,2.0924061995769656,6.779424419563938,0.031295122849387076,0.3817968033567588,0.25094862524706324,0.0031836375746193053
69,2.5277268273612004,10.755523523455663,0.0348900234249639,0.2517976337058849,0.08539562955831996,0.002107533901745315
70,2.161732210693429,6.464620358215124,0.1722383390197507,14.244135916669864,265.8793175166121,0.16029517650188654
71,2.7220806032430644,13.330309313069954,0.1666482405299626,12.60561413418971,220.33365015730178,0.13790154608513758
72,2.08213410567597,6.38081045388891,0.17771817083227417,13.259230919468147,238.6731325749664,0.14885925570471484
73,4.653066255597831,29.130022090745424,0.23297154706022122,12.664335049020396,223.7196567456027,0.13915914522756612
74,2.1310097959708374,7.21927213731819,0.1841034940575218,0.5986210894008369,0.427618774957108,0.004831700450251732
75,9.002163441802418,143.35497569263603,0.3046564536027604,0.6021161207553213,0.41504978812249194,0.004855353564451417
76,6.108547735390449,124.30186520807634,0.2527910449102864,0.6348202400257198,0.4927137527577219,0.005132975887649692
77,7.227344771980023,60.67867103974476,0.3353681167094774,0.86789078449236,0.8324186833017294,0.006931646460624754
78,1.3670369775277114,5.4273439224887845,0.08776815448487753,0.09802369671539266,0.014684568297651144,0.003228530300978761
79,4.831670804284936,60.208946241624,0.19269747636216525,0.19076295021760348,0.05774676855093226,0.005914092530057414
80,4.701030116413482,58.23209688860872,0.19502739305832287,0.07657362101787606,0.009036752858779617,0.0027719855358491366
81,1.0117628692562257,3.5649793571272634,0.03031477074633071,0.22925931597926125,0.06811509413933957,0.00822396489449263
82,1.2580027898829433,6.564779856575046,0.04620791065348874,0.13631442240638925,0.028322498931736547,0.004562621963938687
83,1.140258186642093,4.002774910821896,0.037519820222650706,0.22177045577287913,0.06537949183084103,0.007445535447041718
84,0.735157570328722,4.039538004436154,0.04458123410844703,0.21812244323880634,0.07399827791976954,0.005053650526069146
85,0.7367792314933485,4.509552547026027,0.04227977535449961,0.24710273305002292,0.07973061452796062,0.0056646825900230815
86,0.5877809711123024,2.6741380435196733,0.04083976935498758,0.2682235736282464,0.08805770695160955,0.006282162200444051
87,3.7276230494333342,18.425985998974948,0.24454449731743097,0.19863858793152955,0.06864300650553348,0.004537409760284358
88,0.935103206632134,3.9651099069018083,0.04983329905486106,0.2234018748644825,0.07664624872682957,0.004170087215330655
89,4.139109633768695,22.04708126424552,0.19597952407099653,0.1984770603235875,0.07511250951676157,0.0037028424877934077
90,0.845815825496232,4.043908973965069,0.04984521347094582,0.17109991448143247,0.04499681822560875,0.0031862202421339986
91,0.6194896777926053,2.8603982430121726,0.0377356035270306,0.15449545769740902,0.038712502780525376,0.002897866586114561
92,0.6765127845829698,2.643237127233898,0.021187869968030966,0.8559893808594708,2.2460895942690398,0.015310842174659625
93,0.7685418652965291,3.324726028112236,0.03137757176143375,0.6269356388725341,0.6557056627677911,0.012071736022637182
94,0.6871208462248327,2.970527499442233,0.026206906632381063,0.2496433398915152,0.09773771816658613,0.004725948275661586
95,0.7559929960217251,2.443034899113473,0.025074286386712587,0.24657182726559418,0.10557857632999966,0.0046043335006434255
96,0.8974768007586704,3.553422554526485,0.027521643102006273,0.3726141208063743,0.25178728169358644,0.007438094954006406
97,0.7263628135951491,3.5507309271182703,0.02633408011686998,0.26278111907044843,0.17036625467469188,0.00528800910746737
98,1.0394120122710302,5.143023302751387,0.031730874590073885,6.1526975448456,41.10536206617099,0.10422389907265717
99,3.424993385671598,18.715091607026604,0.09998243568924141,7.789138909700358,64.54577886653308,0.12907471642528603
100,1.4046604432711443,3.050921795282525,0.0440216834075871,0.2433680965821578,0.09768532536260059,0.00478939560704083
101,1.9766124878770863,10.708538252489209,0.05608310622478452,0.25288403000749105,0.09260132773198251,0.004880489267387343
102,0.7035372124780778,2.748532509672398,0.025061049619217478,0.2730265642889763,0.15590210900278106,0.005280272370064123
103,0.9045449768346133,5.120370678873622,0.032691401647908076,0.3545976775406691,0.20560255979255748,0.006833911592954892
105,0.7736233857905866,2.3371635993551285,0.028481029090103364,0.1749036093850225,0.05705529178382987,0.003393242896055344
